date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:58	12393/12393	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/login.html	D:/saniksolution/lux/lux/maysalimo.com/login.html	(from https://maysalimo.com/)
12:29:58	11244/11244	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/blog.html	D:/saniksolution/lux/lux/maysalimo.com/blog.html	(from https://maysalimo.com/)
12:29:59	19815/19815	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/blog-grid.html	D:/saniksolution/lux/lux/maysalimo.com/blog-grid.html	(from https://maysalimo.com/)
12:29:59	18220/18220	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/blog-grid-2.html	D:/saniksolution/lux/lux/maysalimo.com/blog-grid-2.html	(from https://maysalimo.com/)
12:29:59	18287/18287	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/blog-list.html	D:/saniksolution/lux/lux/maysalimo.com/blog-list.html	(from https://maysalimo.com/)
12:30:00	100016/100016	---M--	200	added ('OK')	image/webp	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/banner.webp	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/banner.webp	(from https://maysalimo.com/)
12:30:00	71260/71260	---M-Z	200	added ('OK')	image/webp	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/banner2.webp	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/banner2.webp	(from https://maysalimo.com/)
12:30:00	116246/116246	---M--	200	added ('OK')	image/webp	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/banner3.webp	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/banner3.webp	(from https://maysalimo.com/)
12:30:00	162424/162424	---M--	200	added ('OK')	image/webp	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/banner4.webp	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/banner4.webp	(from https://maysalimo.com/)
12:30:01	174978/174978	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/chauffeur-service-64.jpg	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/chauffeur-service-64.jpg	(from https://maysalimo.com/)
12:30:01	625/625	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/plane.png	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/plane.png	(from https://maysalimo.com/)
12:30:01	15097/15097	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2006:27:03%20GMT	https://maysalimo.com/cms/event-transportation-southern-california/	D:/saniksolution/lux/lux/maysalimo.com/cms/event-transportation-southern-california/index.html	(from https://maysalimo.com/)
12:30:01	15101/15101	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2006:27:03%20GMT	https://maysalimo.com/cms/orange-county-limousine-service/	D:/saniksolution/lux/lux/maysalimo.com/cms/orange-county-limousine-service/index.html	(from https://maysalimo.com/)
12:30:01	539/539	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/building.png	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/building.png	(from https://maysalimo.com/)
12:30:02	515/515	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/train.png	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/train.png	(from https://maysalimo.com/)
12:30:02	1389/1389	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/template/icons/search.svg	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/template/icons/search.svg	(from https://maysalimo.com/)
12:30:02	92563/92563	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/e-class.png	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/e-class.png	(from https://maysalimo.com/)
12:30:02	97271/97271	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/eqs.png	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/eqs.png	(from https://maysalimo.com/)
12:30:02	154798/154798	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/vehicle_ford_max.png	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/vehicle_ford_max.png	(from https://maysalimo.com/)
12:30:03	450927/450927	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/esv.png	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/esv.png	(from https://maysalimo.com/)
12:30:03	2179/2179	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/safe.svg	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/safe.svg	(from https://maysalimo.com/)
12:30:03	5362/5362	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/price.svg	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/price.svg	(from https://maysalimo.com/)
12:30:03	3209/3209	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/vehicle.svg	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/vehicle.svg	(from https://maysalimo.com/)
12:30:04	65311/65311	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2015:56:03%20GMT	https://maysalimo.com/assets/imgs/page/homepage1/service1.png	D:/saniksolution/lux/lux/maysalimo.com/assets/imgs/page/homepage1/service1.png	(from https://maysalimo.com/)
